datetime,day,power,cost,currentState
2024-01-01T07:25:00.000+00:00,Monday,194.74,30.46,New Jersey
2024-01-01T07:30:00.000+00:00,Monday,169.87,26.57,New Jersey
2024-01-01T07:35:00.000+00:00,Monday,130.23,20.37,New Jersey
2024-01-01T07:40:00.000+00:00,Monday,196.56,30.74,New Jersey
2024-01-01T07:45:00.000+00:00,Monday,133.68,20.91,New Jersey
2024-01-01T07:50:00.000+00:00,Monday,141.91,22.19,New Jersey
2024-01-01T07:55:00.000+00:00,Monday,102.24,15.99,New Jersey
2024-01-01T08:00:00.000+00:00,Monday,130.57,20.42,New Jersey
2024-01-01T08:05:00.000+00:00,Monday,145.84,22.81,New Jersey
2024-01-01T08:10:00.000+00:00,Monday,117.85,18.43,New Jersey
2024-01-01T08:15:00.000+00:00,Monday,165.2,25.84,New Jersey
2024-01-01T08:20:00.000+00:00,Monday,163.18,25.52,New Jersey
2024-01-01T08:25:00.000+00:00,Monday,144.3,22.57,New Jersey
2024-01-01T08:30:00.000+00:00,Monday,100.6,15.73,New Jersey
2024-01-01T08:35:00.000+00:00,Monday,133.1,20.82,New Jersey
2024-01-01T08:40:00.000+00:00,Monday,167.24,26.16,New Jersey
2024-01-01T08:45:00.000+00:00,Monday,119.77,18.73,New Jersey
2024-01-01T08:50:00.000+00:00,Monday,146.65,22.94,New Jersey
2024-01-01T08:55:00.000+00:00,Monday,132.22,20.68,New Jersey
2024-01-01T09:00:00.000+00:00,Monday,178.17,27.87,New Jersey
2024-01-01T09:05:00.000+00:00,Monday,104.0,16.27,New Jersey
2024-01-01T09:10:00.000+00:00,Monday,189.36,29.62,New Jersey
2024-01-01T09:15:00.000+00:00,Monday,106.56,16.67,New Jersey
2024-01-01T09:20:00.000+00:00,Monday,157.85,24.69,New Jersey
2024-01-01T09:25:00.000+00:00,Monday,121.17,18.95,New Jersey
2024-01-01T09:30:00.000+00:00,Monday,147.89,23.13,New Jersey
2024-01-01T09:35:00.000+00:00,Monday,138.91,21.73,New Jersey
2024-01-01T09:40:00.000+00:00,Monday,102.13,15.97,New Jersey
2024-01-01T09:45:00.000+00:00,Monday,168.8,26.4,New Jersey
2024-01-01T09:50:00.000+00:00,Monday,168.46,26.35,New Jersey
2024-01-01T09:55:00.000+00:00,Monday,194.04,30.35,New Jersey
2024-01-01T10:00:00.000+00:00,Monday,116.96,18.29,New Jersey
2024-01-01T10:05:00.000+00:00,Monday,168.85,26.41,New Jersey
2024-01-01T10:10:00.000+00:00,Monday,107.67,16.84,New Jersey
2024-01-01T10:15:00.000+00:00,Monday,130.71,20.44,New Jersey
2024-01-01T10:20:00.000+00:00,Monday,110.7,17.31,New Jersey
2024-01-01T10:25:00.000+00:00,Monday,193.62,30.28,New Jersey
2024-01-01T10:30:00.000+00:00,Monday,134.4,21.02,New Jersey
2024-01-01T10:35:00.000+00:00,Monday,167.78,26.24,New Jersey
2024-01-01T10:40:00.000+00:00,Monday,184.35,28.83,New Jersey
2024-01-01T10:45:00.000+00:00,Monday,164.91,25.79,New Jersey
2024-01-01T10:50:00.000+00:00,Monday,146.59,22.93,New Jersey
2024-01-01T10:55:00.000+00:00,Monday,167.79,26.24,New Jersey
2024-01-01T11:00:00.000+00:00,Monday,154.06,24.09,New Jersey
2024-01-01T11:05:00.000+00:00,Monday,174.08,27.23,New Jersey
2024-01-01T11:10:00.000+00:00,Monday,122.74,19.2,New Jersey
2024-01-01T11:15:00.000+00:00,Monday,110.57,17.29,New Jersey
2024-01-01T11:20:00.000+00:00,Monday,198.59,31.06,New Jersey
2024-01-01T11:25:00.000+00:00,Monday,189.05,29.57,New Jersey
2024-01-01T11:30:00.000+00:00,Monday,108.96,17.04,New Jersey
2024-01-01T11:35:00.000+00:00,Monday,191.1,29.89,New Jersey
2024-01-01T11:40:00.000+00:00,Monday,118.37,18.51,New Jersey
2024-01-01T11:45:00.000+00:00,Monday,196.65,30.76,New Jersey
2024-01-01T11:50:00.000+00:00,Monday,160.53,25.11,New Jersey
2024-01-01T11:55:00.000+00:00,Monday,191.37,29.93,New Jersey
2024-01-01T12:00:00.000+00:00,Monday,105.32,16.47,New Jersey
2024-01-01T12:05:00.000+00:00,Monday,133.76,20.92,New Jersey
2024-01-01T12:10:00.000+00:00,Monday,194.68,30.45,New Jersey
2024-01-01T12:15:00.000+00:00,Monday,156.44,24.47,New Jersey
2024-01-01T12:20:00.000+00:00,Monday,172.13,26.92,New Jersey
2024-01-01T12:25:00.000+00:00,Monday,199.0,31.12,New Jersey
2024-01-01T12:30:00.000+00:00,Monday,183.95,28.77,New Jersey
2024-01-01T12:35:00.000+00:00,Monday,180.97,28.3,New Jersey
2024-01-01T12:40:00.000+00:00,Monday,149.48,23.38,New Jersey
2024-01-01T12:45:00.000+00:00,Monday,187.73,29.36,New Jersey
2024-01-01T12:50:00.000+00:00,Monday,183.95,28.77,New Jersey
2024-01-01T12:55:00.000+00:00,Monday,141.62,22.15,New Jersey
2024-01-01T13:00:00.000+00:00,Monday,182.94,28.61,New Jersey
2024-01-01T13:05:00.000+00:00,Monday,167.62,26.22,New Jersey
2024-01-01T13:10:00.000+00:00,Monday,115.31,18.03,New Jersey
2024-01-01T13:15:00.000+00:00,Monday,105.22,16.46,New Jersey
2024-01-01T13:20:00.000+00:00,Monday,152.26,23.81,New Jersey
2024-01-01T13:25:00.000+00:00,Monday,145.65,22.78,New Jersey
2024-01-01T13:30:00.000+00:00,Monday,123.11,19.25,New Jersey
2024-01-01T13:35:00.000+00:00,Monday,137.53,21.51,New Jersey
2024-01-01T13:40:00.000+00:00,Monday,142.4,22.27,New Jersey
2024-01-01T13:45:00.000+00:00,Monday,186.86,29.22,New Jersey
2024-01-01T13:50:00.000+00:00,Monday,148.13,23.17,New Jersey
2024-01-01T13:55:00.000+00:00,Monday,198.85,31.1,New Jersey
2024-01-01T14:00:00.000+00:00,Monday,146.66,22.94,New Jersey
2024-01-01T14:05:00.000+00:00,Monday,106.55,16.66,New Jersey
2024-01-01T14:10:00.000+00:00,Monday,134.35,21.01,New Jersey
2024-01-01T14:15:00.000+00:00,Monday,140.58,21.99,New Jersey
2024-01-01T14:20:00.000+00:00,Monday,111.68,17.47,New Jersey
2024-01-01T14:25:00.000+00:00,Monday,188.01,29.4,New Jersey
2024-01-01T14:30:00.000+00:00,Monday,167.72,26.23,New Jersey
2024-01-01T14:35:00.000+00:00,Monday,169.42,26.5,New Jersey
2024-01-01T14:40:00.000+00:00,Monday,191.76,29.99,New Jersey
2024-01-01T14:45:00.000+00:00,Monday,164.56,25.74,New Jersey
2024-01-01T14:50:00.000+00:00,Monday,109.28,17.09,New Jersey
2024-01-01T14:55:00.000+00:00,Monday,165.04,25.81,New Jersey
2024-01-01T15:00:00.000+00:00,Monday,138.74,21.7,New Jersey
2024-01-01T15:05:00.000+00:00,Monday,112.4,17.58,New Jersey
2024-01-01T15:10:00.000+00:00,Monday,131.35,20.54,New Jersey
2024-01-01T15:15:00.000+00:00,Monday,120.05,18.78,New Jersey
2024-01-01T15:20:00.000+00:00,Monday,166.11,25.98,New Jersey
2024-01-01T15:25:00.000+00:00,Monday,144.61,22.62,New Jersey
2024-01-01T15:30:00.000+00:00,Monday,116.65,18.24,New Jersey
2024-01-01T15:35:00.000+00:00,Monday,173.59,27.15,New Jersey
2024-01-01T15:40:00.000+00:00,Monday,119.54,18.7,New Jersey
2024-01-01T15:45:00.000+00:00,Monday,150.6,23.55,New Jersey
2024-01-01T15:50:00.000+00:00,Monday,145.44,22.75,New Jersey
2024-01-01T15:55:00.000+00:00,Monday,112.17,17.54,New Jersey
2024-01-01T16:00:00.000+00:00,Monday,166.49,26.04,New Jersey
2024-01-01T16:05:00.000+00:00,Monday,162.94,25.48,New Jersey
2024-01-01T16:10:00.000+00:00,Monday,185.36,28.99,New Jersey
2024-01-01T16:15:00.000+00:00,Monday,186.09,29.1,New Jersey
2024-01-01T16:20:00.000+00:00,Monday,153.33,23.98,New Jersey
2024-01-01T16:25:00.000+00:00,Monday,114.95,17.98,New Jersey
2024-01-01T16:30:00.000+00:00,Monday,165.46,25.88,New Jersey
2024-01-01T16:35:00.000+00:00,Monday,196.67,30.76,New Jersey
2024-01-01T16:40:00.000+00:00,Monday,128.67,20.12,New Jersey
2024-01-01T16:45:00.000+00:00,Monday,159.34,24.92,New Jersey
2024-01-01T16:50:00.000+00:00,Monday,143.3,22.41,New Jersey
2024-01-01T16:55:00.000+00:00,Monday,113.95,17.82,New Jersey
2024-01-01T17:00:00.000+00:00,Monday,137.53,21.51,New Jersey
2024-01-01T17:05:00.000+00:00,Monday,168.82,26.4,New Jersey
2024-01-01T17:10:00.000+00:00,Monday,148.59,23.24,New Jersey
2024-01-01T17:15:00.000+00:00,Monday,197.6,30.9,New Jersey
2024-01-01T17:20:00.000+00:00,Monday,162.14,25.36,New Jersey
2024-01-01T17:25:00.000+00:00,Monday,173.65,27.16,New Jersey
2024-01-01T17:30:00.000+00:00,Monday,162.3,25.38,New Jersey
2024-01-01T17:35:00.000+00:00,Monday,183.48,28.7,New Jersey
2024-01-01T17:40:00.000+00:00,Monday,118.8,18.58,New Jersey
2024-01-01T17:45:00.000+00:00,Monday,191.7,29.98,New Jersey
2024-01-01T17:50:00.000+00:00,Monday,196.97,30.81,New Jersey
2024-01-01T17:55:00.000+00:00,Monday,171.32,26.79,New Jersey
2024-01-01T18:00:00.000+00:00,Monday,191.16,29.9,New Jersey
2024-01-01T18:05:00.000+00:00,Monday,189.42,29.63,New Jersey
2024-01-01T18:10:00.000+00:00,Monday,185.15,28.96,New Jersey
2024-01-01T18:15:00.000+00:00,Monday,187.86,29.38,New Jersey
2024-01-01T18:20:00.000+00:00,Monday,101.61,15.89,New Jersey
2024-01-01T18:25:00.000+00:00,Monday,181.56,28.4,New Jersey
2024-01-01T18:30:00.000+00:00,Monday,147.83,23.12,New Jersey
2024-01-01T18:35:00.000+00:00,Monday,143.66,22.47,New Jersey
2024-01-01T18:40:00.000+00:00,Monday,168.73,26.39,New Jersey
2024-01-01T18:45:00.000+00:00,Monday,149.11,23.32,New Jersey
2024-01-01T18:50:00.000+00:00,Monday,142.79,22.33,New Jersey
2024-01-01T18:55:00.000+00:00,Monday,149.4,23.37,New Jersey
2024-01-01T19:00:00.000+00:00,Monday,160.36,25.08,New Jersey
2024-01-01T19:05:00.000+00:00,Monday,130.4,20.39,New Jersey
2024-01-01T19:10:00.000+00:00,Monday,105.85,16.55,New Jersey
2024-01-01T19:15:00.000+00:00,Monday,125.31,19.6,New Jersey
2024-01-01T19:20:00.000+00:00,Monday,158.28,24.75,New Jersey
2024-01-01T19:25:00.000+00:00,Monday,100.19,15.67,New Jersey
2024-01-01T19:30:00.000+00:00,Monday,127.99,20.02,New Jersey
2024-01-01T19:35:00.000+00:00,Monday,112.9,17.66,New Jersey
2024-01-01T19:40:00.000+00:00,Monday,129.2,20.21,New Jersey
2024-01-01T19:45:00.000+00:00,Monday,142.45,22.28,New Jersey
2024-01-01T19:50:00.000+00:00,Monday,190.67,29.82,New Jersey
2024-01-01T19:55:00.000+00:00,Monday,197.05,30.82,New Jersey
2024-01-01T20:00:00.000+00:00,Monday,192.33,30.08,New Jersey
2024-01-01T20:05:00.000+00:00,Monday,111.89,17.5,New Jersey
2024-01-01T20:10:00.000+00:00,Monday,196.95,30.8,New Jersey
2024-01-01T20:15:00.000+00:00,Monday,190.53,29.8,New Jersey
2024-01-01T20:20:00.000+00:00,Monday,137.29,21.47,New Jersey
2024-01-01T20:25:00.000+00:00,Monday,179.97,28.15,New Jersey
2024-01-01T20:30:00.000+00:00,Monday,137.4,21.49,New Jersey
2024-01-01T20:35:00.000+00:00,Monday,110.91,17.35,New Jersey
2024-01-01T20:40:00.000+00:00,Monday,154.46,24.16,New Jersey
2024-01-01T20:45:00.000+00:00,Monday,165.48,25.88,New Jersey
2024-01-01T20:50:00.000+00:00,Monday,188.37,29.46,New Jersey
2024-01-01T20:55:00.000+00:00,Monday,142.71,22.32,New Jersey
2024-01-01T21:00:00.000+00:00,Monday,185.96,29.08,New Jersey
2024-01-01T21:05:00.000+00:00,Monday,121.7,19.03,New Jersey
2024-01-01T21:10:00.000+00:00,Monday,101.75,15.91,New Jersey
2024-01-01T21:15:00.000+00:00,Monday,198.43,31.03,New Jersey
2024-01-01T21:20:00.000+00:00,Monday,179.32,28.05,New Jersey
2024-01-01T21:25:00.000+00:00,Monday,175.36,27.43,New Jersey
2024-01-01T21:30:00.000+00:00,Monday,170.34,26.64,New Jersey
2024-01-01T21:35:00.000+00:00,Monday,115.14,18.01,New Jersey
2024-01-01T21:40:00.000+00:00,Monday,158.71,24.82,New Jersey
2024-01-01T21:45:00.000+00:00,Monday,180.11,28.17,New Jersey
2024-01-01T21:50:00.000+00:00,Monday,161.26,25.22,New Jersey
2024-01-01T21:55:00.000+00:00,Monday,198.23,31.0,New Jersey
2024-01-01T22:00:00.000+00:00,Monday,143.0,22.37,New Jersey
2024-01-01T22:05:00.000+00:00,Monday,103.06,16.12,New Jersey
2024-01-01T22:10:00.000+00:00,Monday,199.06,31.13,New Jersey
2024-01-01T22:15:00.000+00:00,Monday,175.75,27.49,New Jersey
2024-01-01T22:20:00.000+00:00,Monday,162.38,25.4,New Jersey
2024-01-01T22:25:00.000+00:00,Monday,102.55,16.04,New Jersey
2024-01-01T22:30:00.000+00:00,Monday,168.3,26.32,New Jersey
2024-01-01T22:35:00.000+00:00,Monday,100.19,15.67,New Jersey
2024-01-01T22:40:00.000+00:00,Monday,118.29,18.5,New Jersey
2024-01-01T22:45:00.000+00:00,Monday,158.03,24.72,New Jersey
2024-01-01T22:50:00.000+00:00,Monday,153.01,23.93,New Jersey
2024-01-01T22:55:00.000+00:00,Monday,103.11,16.13,New Jersey
2024-01-01T23:00:00.000+00:00,Monday,171.56,26.83,New Jersey
2024-01-01T23:05:00.000+00:00,Monday,104.1,16.28,New Jersey
2024-01-01T23:10:00.000+00:00,Monday,108.04,16.9,New Jersey
2024-01-01T23:15:00.000+00:00,Monday,137.99,21.58,New Jersey
2024-01-01T23:20:00.000+00:00,Monday,150.64,23.56,New Jersey
2024-01-01T23:25:00.000+00:00,Monday,118.5,18.53,New Jersey
2024-01-01T23:30:00.000+00:00,Monday,196.62,30.75,New Jersey
2024-01-01T23:35:00.000+00:00,Monday,195.9,30.64,New Jersey
2024-01-01T23:40:00.000+00:00,Monday,175.95,27.52,New Jersey
2024-01-01T23:45:00.000+00:00,Monday,188.35,29.46,New Jersey
2024-01-01T23:50:00.000+00:00,Monday,107.22,16.77,New Jersey
2024-01-01T23:55:00.000+00:00,Monday,100.67,15.74,New Jersey
2024-01-02T00:00:00.000+00:00,Tuesday,188.87,29.54,New Jersey
2024-01-02T00:05:00.000+00:00,Tuesday,149.03,23.31,New Jersey
2024-01-02T00:10:00.000+00:00,Tuesday,163.4,25.56,New Jersey
2024-01-02T00:15:00.000+00:00,Tuesday,144.28,22.57,New Jersey
2024-01-02T00:20:00.000+00:00,Tuesday,167.19,26.15,New Jersey
2024-01-02T00:25:00.000+00:00,Tuesday,184.78,28.9,New Jersey
2024-01-02T00:30:00.000+00:00,Tuesday,140.64,22.0,New Jersey
2024-01-02T00:35:00.000+00:00,Tuesday,174.25,27.25,New Jersey
2024-01-02T00:40:00.000+00:00,Tuesday,185.35,28.99,New Jersey
2024-01-02T00:45:00.000+00:00,Tuesday,178.49,27.92,New Jersey
2024-01-02T00:50:00.000+00:00,Tuesday,153.68,24.04,New Jersey
2024-01-02T00:55:00.000+00:00,Tuesday,135.87,21.25,New Jersey
2024-01-02T01:00:00.000+00:00,Tuesday,154.0,24.09,New Jersey
2024-01-02T01:05:00.000+00:00,Tuesday,179.4,28.06,New Jersey
2024-01-02T01:10:00.000+00:00,Tuesday,170.81,26.71,New Jersey
2024-01-02T01:15:00.000+00:00,Tuesday,135.24,21.15,New Jersey
2024-01-02T01:20:00.000+00:00,Tuesday,174.19,27.24,New Jersey
2024-01-02T01:25:00.000+00:00,Tuesday,183.93,28.77,New Jersey
2024-01-02T01:30:00.000+00:00,Tuesday,107.68,16.84,New Jersey
2024-01-02T01:35:00.000+00:00,Tuesday,179.53,28.08,New Jersey
2024-01-02T01:40:00.000+00:00,Tuesday,103.94,16.26,New Jersey
2024-01-02T01:45:00.000+00:00,Tuesday,187.0,29.25,New Jersey
2024-01-02T01:50:00.000+00:00,Tuesday,144.22,22.56,New Jersey
2024-01-02T01:55:00.000+00:00,Tuesday,153.32,23.98,New Jersey
2024-01-02T02:00:00.000+00:00,Tuesday,121.51,19.0,New Jersey
2024-01-02T02:05:00.000+00:00,Tuesday,180.44,28.22,New Jersey
2024-01-02T02:10:00.000+00:00,Tuesday,106.91,16.72,New Jersey
2024-01-02T02:15:00.000+00:00,Tuesday,180.1,28.17,New Jersey
2024-01-02T02:20:00.000+00:00,Tuesday,146.91,22.98,New Jersey
2024-01-02T02:25:00.000+00:00,Tuesday,111.5,17.44,New Jersey
2024-01-02T02:30:00.000+00:00,Tuesday,146.66,22.94,New Jersey
2024-01-02T02:35:00.000+00:00,Tuesday,152.4,23.84,New Jersey
2024-01-02T02:40:00.000+00:00,Tuesday,111.03,17.37,New Jersey
2024-01-02T02:45:00.000+00:00,Tuesday,148.42,23.21,New Jersey
2024-01-02T02:50:00.000+00:00,Tuesday,153.58,24.02,New Jersey
2024-01-02T02:55:00.000+00:00,Tuesday,111.74,17.48,New Jersey
2024-01-02T03:00:00.000+00:00,Tuesday,190.83,29.85,New Jersey
2024-01-02T03:05:00.000+00:00,Tuesday,119.4,18.67,New Jersey
2024-01-02T03:10:00.000+00:00,Tuesday,186.62,29.19,New Jersey
2024-01-02T03:15:00.000+00:00,Tuesday,187.96,29.4,New Jersey
2024-01-02T03:20:00.000+00:00,Tuesday,115.83,18.12,New Jersey
2024-01-02T03:25:00.000+00:00,Tuesday,117.53,18.38,New Jersey
2024-01-02T03:30:00.000+00:00,Tuesday,167.35,26.17,New Jersey
2024-01-02T03:35:00.000+00:00,Tuesday,115.63,18.08,New Jersey
2024-01-02T03:40:00.000+00:00,Tuesday,101.97,15.95,New Jersey
2024-01-02T03:45:00.000+00:00,Tuesday,188.45,29.47,New Jersey
2024-01-02T03:50:00.000+00:00,Tuesday,117.88,18.44,New Jersey
2024-01-02T03:55:00.000+00:00,Tuesday,100.74,15.76,New Jersey
2024-01-02T04:00:00.000+00:00,Tuesday,186.63,29.19,New Jersey
2024-01-02T04:05:00.000+00:00,Tuesday,117.52,18.38,New Jersey
2024-01-02T04:10:00.000+00:00,Tuesday,148.06,23.16,New Jersey
2024-01-02T04:15:00.000+00:00,Tuesday,111.46,17.43,New Jersey
2024-01-02T04:20:00.000+00:00,Tuesday,154.48,24.16,New Jersey
2024-01-02T04:25:00.000+00:00,Tuesday,130.97,20.48,New Jersey
2024-01-02T04:30:00.000+00:00,Tuesday,176.35,27.58,New Jersey
2024-01-02T04:35:00.000+00:00,Tuesday,165.5,25.88,New Jersey
2024-01-02T04:40:00.000+00:00,Tuesday,181.11,28.33,New Jersey
2024-01-02T04:45:00.000+00:00,Tuesday,184.03,28.78,New Jersey
2024-01-02T04:50:00.000+00:00,Tuesday,194.18,30.37,New Jersey
2024-01-02T04:55:00.000+00:00,Tuesday,132.87,20.78,New Jersey
2024-01-02T05:00:00.000+00:00,Tuesday,138.71,21.69,New Jersey
2024-01-02T05:05:00.000+00:00,Tuesday,189.85,29.69,New Jersey
2024-01-02T05:10:00.000+00:00,Tuesday,161.42,25.25,New Jersey
2024-01-02T05:15:00.000+00:00,Tuesday,134.78,21.08,New Jersey
2024-01-02T05:20:00.000+00:00,Tuesday,141.34,22.11,New Jersey
2024-01-02T05:25:00.000+00:00,Tuesday,192.12,30.05,New Jersey
2024-01-02T05:30:00.000+00:00,Tuesday,194.94,30.49,New Jersey
2024-01-02T05:35:00.000+00:00,Tuesday,125.26,19.59,New Jersey
2024-01-02T05:40:00.000+00:00,Tuesday,156.42,24.46,New Jersey
2024-01-02T05:45:00.000+00:00,Tuesday,110.37,17.26,New Jersey
2024-01-02T05:50:00.000+00:00,Tuesday,116.7,18.25,New Jersey
2024-01-02T05:55:00.000+00:00,Tuesday,174.92,27.36,New Jersey
2024-01-02T06:00:00.000+00:00,Tuesday,170.64,26.69,New Jersey
2024-01-02T06:05:00.000+00:00,Tuesday,177.16,27.71,New Jersey
2024-01-02T06:10:00.000+00:00,Tuesday,159.99,25.02,New Jersey
2024-01-02T06:15:00.000+00:00,Tuesday,112.79,17.64,New Jersey
2024-01-02T06:20:00.000+00:00,Tuesday,143.95,22.51,New Jersey
2024-01-02T06:25:00.000+00:00,Tuesday,181.41,28.37,New Jersey
2024-01-02T06:30:00.000+00:00,Tuesday,165.55,25.89,New Jersey
2024-01-02T06:35:00.000+00:00,Tuesday,174.88,27.35,New Jersey
2024-01-02T06:40:00.000+00:00,Tuesday,172.7,27.01,New Jersey
2024-01-02T06:45:00.000+00:00,Tuesday,151.07,23.63,New Jersey
2024-01-02T06:50:00.000+00:00,Tuesday,104.16,16.29,New Jersey
2024-01-02T06:55:00.000+00:00,Tuesday,145.45,22.75,New Jersey
